year,lgID,tmID,franchID,confID,divID,rank,playoff,G,W,L,T,OTL,Pts,SoW,SoL,GF,GA,name,PIM,BenchMinor,PPG,PPC,SHA,PKG,PKC,SHF
1997,NHL,PHO,PHO,WC,CE,4,CQF,82,35,35,12,,82,,,224,227,Phoenix Coyotes,1602,20,57,384,6,66,408,10
1997,NHL,PIT,PIT,EC,NE,1,CQF,82,40,24,18,,98,,,228,188,Pittsburgh Penguins,1225,10,67,407,16,46,338,11
1997,NHL,SJS,SJS,WC,PC,4,CQF,82,34,38,10,,78,,,210,216,San Jose Sharks,1417,20,54,400,5,59,398,10
1997,NHL,STL,STL,WC,CE,3,CSF,82,45,29,8,,98,,,256,204,St. Louis Blues,1414,8,62,368,4,49,367,12
1997,NHL,TBL,TBL,EC,AT,7,,82,17,55,10,,44,,,151,269,Tampa Bay Lightning,1823,12,33,353,16,72,410,11
1997,NHL,TOR,TOR,WC,CE,6,,82,30,43,9,,69,,,194,237,Toronto Maple Leafs,1481,6,41,359,13,50,372,5
1997,NHL,VAN,VAN,WC,PC,7,,82,25,43,14,,64,,,224,273,Vancouver Canucks,2166,18,48,373,12,77,432,19
1997,NHL,WAS,WAS,EC,AT,3,F,82,40,30,12,,92,,,219,202,Washington Capitals,1198,2,55,350,4,39,361,14
1998,NHL,ANA,ANA,WC,PC,3,CQF,82,35,34,13,,83,,,215,206,Mighty Ducks of Anaheim,1323,14,83,378,7,60,387,6
1998,NHL,BOS,BOS,EC,NE,3,CSF,82,39,30,13,,91,,,214,181,Boston Bruins,1182,6,65,368,9,33,305,3
1998,NHL,BUF,BUF,EC,NE,4,F,82,37,28,17,,91,,,207,175,Buffalo Sabres,1561,16,49,363,7,55,399,6
1998,NHL,CAL,CAL,WC,NW,3,,82,30,40,12,,72,,,211,234,Calgary Flames,1389,8,51,357,6,78,386,12
1998,NHL,CAR,CAR,EC,SE,1,CQF,82,34,30,18,,86,,,210,202,Carolina Hurricanes,1158,10,42,382,6,51,346,5
1998,NHL,CHI,CHI,WC,CE,3,,82,29,41,12,,70,,,202,248,Chicago Blackhawks,1807,8,50,335,10,80,405,8
1998,NHL,COL,COL,WC,NW,1,CF,82,44,28,10,,98,,,239,205,Colorado Avalanche,1619,14,71,375,12,63,386,7
1998,NHL,DAL,DAL,WC,PC,1,SC,82,51,19,12,,114,,,236,168,Dallas Stars,1108,8,74,393,4,43,319,6
1998,NHL,DET,DET,WC,CE,1,CSF,82,43,32,7,,93,,,245,202,Detroit Red Wings,1202,10,67,415,7,45,355,14
1998,NHL,EDM,EDM,WC,NW,2,CQF,82,33,37,12,,78,,,230,226,Edmonton Oilers,1373,12,63,438,10,67,374,8
1998,NHL,FLO,FLO,EC,SE,2,,82,30,34,18,,78,,,210,228,Florida Panthers,1522,18,51,380,11,67,370,10
1998,NHL,LAK,LAK,WC,PC,5,,82,32,45,5,,69,,,189,222,Los Angeles Kings,1383,14,43,327,11,47,330,12
1998,NHL,MTL,MTL,EC,NE,5,,82,32,39,11,,75,,,184,209,Montreal Canadiens,1299,14,50,344,10,44,344,8
1998,NHL,NAS,NAS,WC,CE,4,,82,28,47,7,,63,,,190,261,Nashville Predators,1420,14,40,324,10,75,357,7
1998,NHL,NJD,NJD,EC,AT,1,CQF,82,47,24,11,,105,,,248,196,New Jersey Devils,1355,14,60,304,5,47,325,7
1998,NHL,NYI,NYI,EC,AT,5,,82,24,48,10,,58,,,194,244,New York Islanders,1111,22,54,341,7,60,363,8
1998,NHL,NYR,NYR,EC,AT,4,,82,33,38,11,,77,,,217,227,New York Rangers,1087,14,71,348,9,48,336,7
1998,NHL,OTT,OTT,EC,NE,1,CQF,82,44,23,15,,103,,,239,179,Ottawa Senators,892,12,59,397,13,44,317,6
1998,NHL,PHI,PHI,EC,AT,2,CQF,82,37,26,19,,93,,,231,196,Philadelphia Flyers,1075,12,65,386,7,53,333,4
1998,NHL,PHO,PHO,WC,PC,2,CQF,82,39,31,12,,90,,,205,197,Phoenix Coyotes,1412,12,41,342,5,45,348,8
1998,NHL,PIT,PIT,EC,AT,3,CSF,82,38,30,14,,90,,,242,225,Pittsburgh Penguins,977,12,65,363,14,56,302,10
1998,NHL,SJS,SJS,WC,PC,4,CQF,82,31,33,18,,80,,,196,191,San Jose Sharks,1423,10,53,399,4,61,407,8
1998,NHL,STL,STL,WC,CE,2,CSF,82,37,32,13,,87,,,237,209,St. Louis Blues,1308,6,61,301,4,47,387,7
1998,NHL,TBL,TBL,EC,SE,4,,82,19,54,9,,47,,,179,292,Tampa Bay Lightning,1316,10,43,310,10,68,387,11
1998,NHL,TOR,TOR,EC,NE,2,CF,82,45,30,7,,97,,,268,231,Toronto Maple Leafs,1095,16,53,367,6,64,325,7
1998,NHL,VAN,VAN,WC,NW,4,,82,23,47,12,,58,,,192,258,Vancouver Canucks,1764,16,57,358,9,77,450,17
1998,NHL,WAS,WAS,EC,SE,3,,82,31,45,6,,68,,,200,218,Washington Capitals,1381,6,52,301,7,55,353,8
1999,NHL,ANA,ANA,WC,PC,5,,82,34,33,12,3,83,,,217,227,Mighty Ducks of Anaheim,926,8,55,332,8,62,296,4
1999,NHL,ATL,WPG,EC,SE,5,,82,14,57,7,4,39,,,170,313,Atlanta Thrashers,1422,16,44,348,13,76,386,6
1999,NHL,BOS,BOS,EC,NE,5,,82,24,33,19,6,73,,,210,248,Boston Bruins,865,6,51,355,4,55,268,0
1999,NHL,BUF,BUF,EC,NE,3,CQF,82,35,32,11,4,85,,,213,204,Buffalo Sabres,1173,10,37,351,10,54,361,8
1999,NHL,CAL,CAL,WC,NW,4,,82,31,36,10,5,77,,,211,256,Calgary Flames,1267,8,59,330,8,74,365,4
1999,NHL,CAR,CAR,EC,SE,3,,82,37,35,10,0,84,,,217,216,Carolina Hurricanes,799,4,58,342,7,40,253,3
1999,NHL,CHI,CHI,WC,CE,3,,82,33,37,10,2,78,,,242,245,Chicago Blackhawks,1444,20,52,325,13,58,355,10
1999,NHL,COL,COL,WC,NW,1,CF,82,42,28,11,1,96,,,233,201,Colorado Avalanche,1118,18,59,302,7,52,335,3
1999,NHL,DAL,DAL,WC,PC,1,F,82,43,23,10,6,102,,,211,184,Dallas Stars,1029,12,54,343,9,33,307,9
1999,NHL,DET,DET,WC,CE,2,CSF,82,48,22,10,2,108,,,278,210,Detroit Red Wings,1014,20,69,338,6,44,311,15
1999,NHL,EDM,EDM,WC,NW,2,CQF,82,32,26,16,8,88,,,226,212,Edmonton Oilers,1344,16,53,336,4,54,369,9
1999,NHL,FLO,FLO,EC,SE,2,CQF,82,43,27,6,6,98,,,244,209,Florida Panthers,1329,18,58,338,8,47,323,2
1999,NHL,LAK,LAK,WC,PC,2,CQF,82,39,27,12,4,94,,,245,228,Los Angeles Kings,1313,4,60,356,12,66,373,4
1999,NHL,MTL,MTL,EC,NE,4,,82,35,34,9,4,83,,,196,194,Montreal Canadiens,1067,14,54,323,8,40,302,7
1999,NHL,NAS,NAS,WC,CE,4,,82,28,40,7,7,70,,,199,240,Nashville Predators,946,14,41,304,11,46,309,9
1999,NHL,NJD,NJD,EC,AT,2,SC,82,45,24,8,5,103,,,251,203,New Jersey Devils,1313,22,55,274,9,39,313,9
1999,NHL,NYI,NYI,EC,AT,5,,82,24,48,9,1,58,,,194,275,New York Islanders,1376,8,45,319,8,84,419,8
1999,NHL,NYR,NYR,EC,AT,4,,82,29,38,12,3,73,,,218,246,New York Rangers,916,4,55,325,9,49,292,5
1999,NHL,OTT,OTT,EC,NE,2,CQF,82,41,28,11,2,95,,,244,210,Ottawa Senators,850,14,52,310,8,34,273,6
1999,NHL,PHI,PHI,EC,AT,1,CF,82,45,22,12,3,105,,,237,179,Philadelphia Flyers,1233,8,69,340,7,42,316,7
1999,NHL,PHO,PHO,WC,PC,3,CQF,82,39,31,8,4,90,,,232,228,Phoenix Coyotes,940,12,37,310,7,43,306,14
1999,NHL,PIT,PIT,EC,AT,3,CSF,82,37,31,8,6,88,,,241,236,Pittsburgh Penguins,1221,16,54,346,11,56,321,7
1999,NHL,SJS,SJS,WC,PC,4,CSF,82,35,30,10,7,87,,,225,214,San Jose Sharks,1292,6,62,377,4,61,372,16
1999,NHL,STL,STL,WC,CE,1,CQF,82,51,19,11,1,114,,,248,165,St. Louis Blues,1139,22,61,342,3,42,345,13
1999,NHL,TBL,TBL,EC,SE,4,,82,19,47,9,7,54,,,204,310,Tampa Bay Lightning,1733,20,51,365,7,77,399,9
1999,NHL,TOR,TOR,EC,NE,1,CSF,82,45,27,7,3,100,,,246,222,Toronto Maple Leafs,1103,12,57,321,5,58,330,11
1999,NHL,VAN,VAN,WC,NW,3,,82,30,29,15,8,83,,,227,237,Vancouver Canucks,1047,22,51,323,7,63,322,9
1999,NHL,WAS,WAS,EC,SE,1,CQF,82,44,24,12,2,102,,,227,194,Washington Capitals,994,14,43,286,3,47,340,9
2000,NHL,ANA,ANA,WC,PC,5,,82,25,41,11,5,66,,,188,245,Mighty Ducks of Anaheim,1136,12,66,373,13,71,390,6
2000,NHL,ATL,WPG,EC,SE,4,,82,23,45,12,2,60,,,211,289,Atlanta Thrashers,1500,6,54,395,8,90,408,9
2000,NHL,BOS,BOS,EC,NE,4,,82,36,30,8,8,88,,,227,249,Boston Bruins,1325,18,64,390,7,65,377,8
2000,NHL,BUF,BUF,EC,NE,2,CSF,82,46,30,5,1,98,,,218,184,Buffalo Sabres,1249,8,60,373,5,40,334,6
2000,NHL,CAL,CAL,WC,NW,4,,82,27,36,15,4,73,,,197,236,Calgary Flames,1376,14,65,435,11,76,378,3
2000,NHL,CAR,CAR,EC,SE,2,CQF,82,38,32,9,3,88,,,212,225,Carolina Hurricanes,1083,10,72,382,16,45,351,6
2000,NHL,CBS,CBS,WC,CE,5,,82,28,39,9,6,71,,,190,233,Columbus Blue Jackets,1234,20,56,381,8,70,363,3
2000,NHL,CHI,CHI,WC,CE,4,,82,29,40,8,5,71,,,210,246,Chicago Blackhawks,1001,24,41,318,12,52,323,15
2000,NHL,COL,COL,WC,NW,1,SC,82,52,16,10,4,118,,,270,192,Colorado Avalanche,1138,16,80,363,11,59,342,11
2000,NHL,DAL,DAL,WC,PC,1,CSF,82,48,24,8,2,106,,,241,187,Dallas Stars,1041,10,72,367,7,49,355,7
2000,NHL,DET,DET,WC,CE,1,CQF,82,49,20,9,4,111,,,253,202,Detroit Red Wings,1082,20,85,384,7,55,385,10
2000,NHL,EDM,EDM,WC,NW,2,CQF,82,39,28,12,3,93,,,243,222,Edmonton Oilers,1287,10,59,398,4,62,382,13
2000,NHL,FLO,FLO,EC,SE,3,,82,22,38,13,9,66,,,200,246,Florida Panthers,1509,10,46,353,13,64,398,8
2000,NHL,LAK,LAK,WC,PC,3,CSF,82,38,28,13,3,92,,,252,228,Los Angeles Kings,1196,20,71,367,6,72,382,14
2000,NHL,MIN,MIN,WC,NW,5,,82,25,39,13,5,68,,,168,210,Minnesota Wild,1200,26,36,374,14,57,373,13
2000,NHL,MTL,MTL,EC,NE,5,,82,28,40,8,6,70,,,206,232,Montreal Canadiens,1020,18,68,421,3,60,337,5
2000,NHL,NAS,NAS,WC,CE,3,,82,34,36,9,3,80,,,186,200,Nashville Predators,944,8,51,361,4,49,331,7
2000,NHL,NJD,NJD,EC,AT,1,F,82,48,19,12,3,111,,,295,195,New Jersey Devils,1235,18,71,310,6,49,320,9
2000,NHL,NYI,NYI,EC,AT,5,,82,21,51,7,3,52,,,185,268,New York Islanders,1339,14,51,386,14,79,445,9
2000,NHL,NYR,NYR,EC,AT,4,,82,33,43,5,1,72,,,250,290,New York Rangers,1522,18,65,363,12,86,400,16
2000,NHL,OTT,OTT,EC,NE,1,CQF,82,48,21,9,4,109,,,274,205,Ottawa Senators,1062,10,71,381,5,49,361,10
2000,NHL,PHI,PHI,EC,AT,2,CQF,82,43,25,11,3,100,,,240,207,Philadelphia Flyers,1183,8,55,350,9,55,314,11
2000,NHL,PHO,PHO,WC,PC,4,,82,35,27,17,3,90,,,214,212,Phoenix Coyotes,1337,12,57,343,6,64,432,9
2000,NHL,PIT,PIT,EC,AT,3,CF,82,42,28,9,3,96,,,281,256,Pittsburgh Penguins,1585,12,76,375,11,78,405,7
2000,NHL,SJS,SJS,WC,PC,2,CQF,82,40,27,12,3,95,,,217,192,San Jose Sharks,1364,10,57,406,10,61,441,8
2000,NHL,STL,STL,WC,CE,2,CF,82,43,22,12,5,103,,,249,195,St. Louis Blues,1345,14,72,385,7,57,389,15
2000,NHL,TBL,TBL,EC,SE,5,,82,24,47,6,5,59,,,201,280,Tampa Bay Lightning,1404,20,53,424,11,72,422,9
2000,NHL,TOR,TOR,EC,NE,3,CSF,82,37,29,11,5,90,,,232,207,Toronto Maple Leafs,1430,6,57,355,9,55,366,2
2000,NHL,VAN,VAN,WC,NW,3,CQF,82,36,28,11,7,90,,,239,238,Vancouver Canucks,1113,22,71,416,11,74,387,12
2000,NHL,WAS,WAS,EC,SE,1,CQF,82,41,27,10,4,96,,,233,211,Washington Capitals,1141,10,75,353,7,62,391,6
2001,NHL,ANA,ANA,WC,PC,5,,82,29,42,8,3,69,,,175,198,Mighty Ducks of Anaheim,1254,14,43,373,9,46,330,4
2001,NHL,ATL,WPG,EC,SE,5,,82,19,47,11,5,54,,,187,288,Atlanta Thrashers,1290,22,37,306,12,65,358,3
2001,NHL,BOS,BOS,EC,NE,1,CQF,82,43,24,6,9,101,,,236,201,Boston Bruins,1454,12,39,283,5,45,348,14
2001,NHL,BUF,BUF,EC,NE,5,,82,35,35,11,1,82,,,213,200,Buffalo Sabres,1217,16,50,374,6,41,304,7
2001,NHL,CAL,CAL,WC,NW,4,,82,32,35,12,3,79,,,201,220,Calgary Flames,1586,12,55,364,5,66,356,10
2001,NHL,CAR,CAR,EC,SE,1,F,82,35,26,16,5,91,,,217,217,Carolina Hurricanes,1022,12,63,390,11,54,332,4
2001,NHL,CBS,CBS,WC,CE,5,,82,22,47,8,5,57,,,164,255,Columbus Blue Jackets,1198,14,50,356,8,52,306,3
2001,NHL,CHI,CHI,WC,CE,3,CQF,82,41,27,13,1,96,,,216,207,Chicago Blackhawks,1234,10,54,302,2,63,340,4
2001,NHL,COL,COL,WC,NW,1,CF,82,45,28,8,1,99,,,212,169,Colorado Avalanche,1007,10,62,344,7,41,315,7
2001,NHL,DAL,DAL,WC,PC,4,,82,36,28,13,5,90,,,215,213,Dallas Stars,959,12,60,350,8,59,319,7
2001,NHL,DET,DET,WC,CE,1,SC,82,51,17,10,4,116,,,251,187,Detroit Red Wings,1053,10,73,359,7,48,343,9
2001,NHL,EDM,EDM,WC,NW,3,,82,38,28,12,4,92,,,205,182,Edmonton Oilers,1267,6,51,333,7,50,348,12
2001,NHL,FLO,FLO,EC,SE,4,,82,22,44,10,6,60,,,180,250,Florida Panthers,1994,26,50,341,7,76,393,8
2001,NHL,LAK,LAK,WC,PC,3,CQF,82,40,27,11,4,95,,,214,190,Los Angeles Kings,1348,16,73,353,6,49,366,5
2001,NHL,MIN,MIN,WC,NW,5,,82,26,35,12,9,73,,,195,238,Minnesota Wild,1209,16,55,373,9,62,362,11
2001,NHL,MTL,MTL,EC,NE,4,CSF,82,36,31,12,3,87,,,207,209,Montreal Canadiens,974,24,45,301,4,38,276,7
2001,NHL,NAS,NAS,WC,CE,4,,82,28,41,13,0,69,,,196,230,Nashville Predators,1071,20,48,337,8,50,354,6
2001,NHL,NJD,NJD,EC,AT,3,CQF,82,41,28,9,4,95,,,205,187,New Jersey Devils,1010,18,44,261,8,43,264,2
2001,NHL,NYI,NYI,EC,AT,2,CQF,82,42,28,8,4,96,,,239,220,New York Islanders,1255,14,59,363,10,52,366,17
2001,NHL,NYR,NYR,EC,AT,4,,82,36,38,4,4,80,,,227,258,New York Rangers,1753,10,48,326,5,80,398,8
2001,NHL,OTT,OTT,EC,NE,3,CSF,82,39,27,9,7,94,,,243,208,Ottawa Senators,1347,16,55,331,5,48,307,11
2001,NHL,PHI,PHI,EC,AT,1,CQF,82,42,27,10,3,97,,,234,192,Philadelphia Flyers,1242,16,39,299,10,40,293,8
2001,NHL,PHO,PHO,WC,PC,2,CQF,82,40,27,9,6,95,,,228,210,Phoenix Coyotes,1154,16,53,341,6,60,356,8
2001,NHL,PIT,PIT,EC,AT,5,,82,28,41,8,5,69,,,198,249,Pittsburgh Penguins,1248,16,47,335,10,57,352,5
2001,NHL,SJS,SJS,WC,PC,1,CSF,82,44,27,8,3,99,,,248,199,San Jose Sharks,1249,8,59,368,6,54,380,15
2001,NHL,STL,STL,WC,CE,2,CSF,82,43,27,8,4,98,,,227,188,St. Louis Blues,1343,26,62,356,7,56,379,5
2001,NHL,TBL,TBL,EC,SE,3,,82,27,40,11,4,69,,,178,219,Tampa Bay Lightning,1072,22,46,311,9,40,273,6
2001,NHL,TOR,TOR,EC,NE,2,CF,82,43,25,10,4,100,,,249,207,Toronto Maple Leafs,1212,12,54,349,6,51,328,9
2001,NHL,VAN,VAN,WC,NW,2,CQF,82,42,30,7,3,94,,,254,211,Vancouver Canucks,1342,28,69,372,9,57,379,3
2001,NHL,WAS,WAS,EC,SE,2,,82,36,33,11,2,85,,,228,240,Washington Capitals,1043,6,58,299,8,58,325,2
2002,NHL,ANA,ANA,WC,PC,2,F,82,40,27,9,6,95,,,203,193,Mighty Ducks of Anaheim,954,20,56,348,5,42,333,8
2002,NHL,ATL,WPG,EC,SE,3,,82,31,39,7,5,74,,,226,284,Atlanta Thrashers,1253,26,64,371,14,65,355,8
2002,NHL,BOS,BOS,EC,NE,3,CQF,82,36,31,11,4,87,,,245,237,Boston Bruins,1370,24,59,325,11,65,375,10
2002,NHL,BUF,BUF,EC,NE,5,,82,27,37,10,8,72,,,190,219,Buffalo Sabres,1276,30,51,354,11,53,363,8
2002,NHL,CAL,CAL,WC,NW,5,,82,29,36,13,4,75,,,186,228,Calgary Flames,1391,22,47,389,10,65,389,5
